State,Sex,Race/Ethnicity,Age Group,First Year,Last Year,Rank,Cause of Death,Deaths
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,4,Chronic Low. Respiratory Disease,2360151
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,5,Alzheimer's Disease,1599601
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,6,Diabetes Mellitus,1074664
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,7,Influenza & Pneumonia,994661
,,,,,,,,
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,9,Nephritis,754444
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,10,Septicemia,547233
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,11,Hypertension,438079
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,12,Parkinson's Disease,432810
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,13,Pneumonitis,317610
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,14,Benign Neoplasms,235799
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,15,Liver Disease,232118
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,16,Aortic Aneurysm,191557
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,17,Atherosclerosis,170796
,,,,,,,,
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,19,Anemias,74382
United States,Both Sexes,"All Races,",65+ yrs,1999,2018,20,Nutritional Deficiencies,73343
